english,turkish
the,o
to,ile
and,Ve
of,ile ilgili
a,A
in,içinde
for,için
that,O
on,Açık
is,dır
with,ile
The,The
was,idi
at,-de
as,gibi
be,olmak
it,BT
from,itibaren
has,sahip olmak
said,söz konusu
are,vardır
by,ile
I,BEN
have,sahip olmak
this,Bu
will,gelecek
an,BİR
he,O
his,onun
their,onların
not,Olumsuz
you,Sen
had,vardı
her,o
they,Onlar
been,olmuş
but,Ancak
who,kim
or,veya
were,idi
which,Hangi
also,Ayrıca
its,onun
we,Biz
can,olabilmek
after,sonrasında
more,Daha
on the,üzerinde
about,hakkında
one,bir
out,dışarı
all,Tümü
up,yukarı
she,o
would,istemek
people,insanlar
when,Ne zaman
time,zaman
He,O
year,yıl
your,senin
first,Birinci
our,bizim
just,Sadece
new,yeni
so,Bu yüzden
This,Bu
over,üzerinde
In,İçinde
last,son
into,içine
A,bir
there,Orası
like,beğenmek
during,sırasında
what,Ne
shares,hisse senetleri
now,Şimdi
It,BT
We,Biz
them,onlara
other,diğer
than,hariç
years,yıllar
two,iki
get,elde etmek
my,Benim
some,bazı
him,o
back,geri
could,olabilir
do,Yapmak
if,eğer
But,Ancak
no,HAYIR
before,önce
only,sadece
through,başından sonuna kadar
quarter,çeyrek
most,en
being,yapı
home,Ev
how,Nasıl
make,yapmak
made,yapılmış
stock,stoklamak
even,eşit
these,bunlar
while,sırasında
against,aykırı
many,birçok
me,Ben
where,Neresi
because,Çünkü
take,almak
And,Ve
any,herhangi
those,onlar
three,üç
work,iş
off,kapalı
want,istek
then,Daha sonra
going,giden
very,çok
They,Onlar
She,O
company,şirket
down,aşağı
day,gün
game,oyun
since,o zamandan beri
As,Gibi
around,etrafında
may,mayıs
go,Gitmek
see,Görmek
well,Peki
including,içermek
way,yol
support,Destek
per,başına
come,Gelmek
family,aile
us,biz
between,arasında
such,çok
told,söylenmiş
price,fiyat
should,gerekir
much,fazla
set,ayarlamak
both,ikisi birden
place,yer
season,mevsim
part,parça
team,takım
week,hafta
need,ihtiyaç
good,iyi
local,yerel
For,İçin
left,sol
think,düşünmek
New,Yeni
did,yaptı
government,devlet
help,yardım
own,sahip olmak
really,Gerçekten
another,bir diğer
know,Bilmek
Friday,Cuma
added,eklendi
million,milyon
second,ikinci
best,en iyi
It’s,Onun
next,Sonraki
report,rapor
If,Eğer
across,karşısında
say,söylemek
Trump,Koz
life,hayat
state,durum
still,Hala
it’s,onun
rating,derecelendirme
right,Sağ
found,kurmak
same,Aynı
says,diyor
police,polis
under,altında
want to,istemek
four,dört
There,Orada
went,gitmiş
You,Sen
the same,aynısı
country,ülke
got,aldı
making,yapım
Wednesday,Çarşamba
due,vadesi dolmuş
media,medya
too,fazla
top,tepe
However,Fakat
area,alan
man,Adam
When,Ne zaman
use,kullanmak
without,olmadan
came,gelmek
show,göstermek
took,alınmış
community,toplum
end,son
That,O
look,Bakmak
number,sayı
market,pazar
On,Açık
case,dava
following,takip etme
public,halk
put,koymak
services,hizmetler
Saturday,Cumartesi
according,binaen
according to,buna göre
again,Tekrar
great,Harika
high,yüksek
lot,pay
used,kullanılmış
Mr,Bay
able,hünerli
days,günler
due to,dolayı
research,araştırma
Tuesday,Salı
every,Her
worth,değer
average,ortalama
business,işletme
months,aylar
working,çalışma
While,Sırasında
different,farklı
health,sağlık
keep,kale
recent,son
social,sosyal
Thursday,Perşembe
don’t,yapma
here,Burada
past,geçmiş
event,etkinlik
long,uzun
State,Durum
always,Her zaman
later,Daha sonra
Monday,Pazartesi
Sunday,Pazar
each,her biri
five,beş
games,oyunlar
owns,sahip
something,bir şey
up to,kadar
water,su
win,kazanç
world,dünya
President,Başkan
never,Asla
times,kez
billion,milyar
final,son
month,ay
play,oynamak
side,taraf
such as,örneğin
away,uzak
having,sahip olmak
things,şeyler
National,Ulusal
So,Bu yüzden
called,isminde
former,önceki
night,gece
several,birçok
a lot,çok fazla
additional,ek olarak
future,gelecek
May,Mayıs
city,şehir
few,bir kaç
find,bulmak
important,önemli
news,haberler
out of,dışında
points,puanlar
target,hedef
Police,Polis
big,büyük
coming,gelen
ever,durmadan
given,verilen
group,grup
might,belki
once,bir kere
the most,en çok
valued,değerli
City,Şehir
already,çoktan
company’s,şirketin
current,akım
love,Aşk
money,para
seen,görülen
U.S.,BİZ.
children,çocuklar
it's,onun
to do,yapmak
until,değin
valued at,değerli
within,içinde
I’m,Ben
done,Tamamlandı
party,parti
school,okul
though,Yine de
as well,ilave olarak
building,bina
comes,geliyor
likely,büyük ihtimalle
members,üyeler
After,Sonrasında
better,daha iyi
court,mahkeme
forward,ileri
young,genç
US,BİZ
United,Birleşik
car,araba
change,değiştirmek
didn’t,yapmadı
have to,zorunda
job,iş
position,konum
six,altı
the best,en iyisi
At,Şu anda
With,İle
available,mevcut
continue,devam etmek
data,veri
experience,deneyim
information,bilgi
lead,yol göstermek
must,mutlak
reported,bildirildi
run,koşmak
service,hizmet
system,sistem
third,üçüncü
woman,kadın
County,Kontluk
Inc.,A.Ş.
One,Bir
UK,İngiltere
against the,karşı
close,kapalı
death,ölüm
development,gelişim
does,yapmak
doing,yapmak
election,seçim
lost,kayıp
need to,gerek
period,dönem
staff,kadro
statement,ifade
together,birlikte
why,Neden
April,Nisan
areas,alanlar
become,haline gelmek
fire,ateş
gave,verilmiş
point,nokta
taking,alarak
February,Şubat
October,Ekim
York,York
all the,tüm
currently,şu anda
far,uzak
further,daha öte
head,KAFA
hours,saat
known,bilinen
least,en az
played,oynandı
real,gerçek
security,güvenlik
What,Ne
cent,yüzde
food,yiyecek
give,vermek
move,taşınmak
per cent,yüzde
players,oyuncular
sure,Elbette
American,Amerikan
